pacany-sialala,0.1,0.92,0.3333333333333333,0.14285714285714285,0.2
pacany-sialala,0.2,0.95,1.0,0.2857142857142857,0.4444444444444445
pacany-sialala,0.30000000000000004,0.95,0.625,0.7142857142857143,0.6666666666666666
pacany-sialala,0.4,0.94,0.6,0.42857142857142855,0.5 
pacany-sialala,0.5,0.95,1.0,0.2857142857142857,0.4444444444444445
pacany-sialala,0.6,0.93,0.5,0.5714285714285714,0.5333333333333333
pacany-sialala,0.7,0.95,1.0,0.2857142857142857,0.4444444444444445
pacany-sialala,0.7999999999999999,0.94,0.6666666666666666,0.2857142857142857,0.4
pacany-sialala,0.8999999999999999,0.96,0.7142857142857143,0.7142857142857143,0.7142857142857143
pacany-sialala,0.9999999999999999,0.93,0.5,0.42857142857142855,0.4615384615384615
