pacany-sialala,0.1,0.79,0.25,1.0,0.4
pacany-sialala,0.2,0.94,1.0,0.14285714285714285,0.25 
pacany-sialala,0.30000000000000004,0.92,0.46153846153846156,0.8571428571428571,0.6
pacany-sialala,0.4,0.96,0.6666666666666666,0.8571428571428571,0.75
pacany-sialala,0.5,0.93,0.0,0.0,0.0
pacany-sialala,0.6,0.97,0.75,0.8571428571428571,0.7999999999999999
pacany-sialala,0.7,0.98,0.8571428571428571,0.8571428571428571,0.8571428571428571
pacany-sialala,0.7999999999999999,0.98,0.8571428571428571,0.8571428571428571,0.8571428571428571
pacany-sialala,0.8999999999999999,0.97,0.75,0.8571428571428571,0.7999999999999999
pacany-sialala,0.9999999999999999,0.97,0.8333333333333334,0.7142857142857143,0.7692307692307692
